,topic,document
174,1,2-S2.0-85077359078
175,0,2-S2.0-85074292627
176,0,2-S2.0-85050692483
177,0,2-S2.0-0141569062
178,0,2-S2.0-85086576915
179,0,2-S2.0-85084045565
180,0,2-S2.0-85041192774
181,0,2-S2.0-85123205415
182,-1,2-S2.0-85056093548
183,0,2-S2.0-84883437456
184,0,2-S2.0-84930477920
185,1,2-S2.0-33746619662
186,5,2-S2.0-85092514399
187,1,2-S2.0-85067027789
188,0,2-S2.0-85082126398
189,0,2-S2.0-85014638396
190,1,2-S2.0-85068086741
191,1,2-S2.0-85039044300
192,1,2-S2.0-84928723624
193,0,2-S2.0-85052611628
194,-1,2-S2.0-85099777019
195,0,2-S2.0-84876430267
196,1,2-S2.0-85068110130
197,-1,2-S2.0-84941254409
198,0,2-S2.0-80255137425
199,0,2-S2.0-85085142716
200,0,2-S2.0-85053147885
201,0,2-S2.0-85097513119
202,0,2-S2.0-85075417445
203,0,2-S2.0-85115102396
204,0,2-S2.0-85101371675
205,0,2-S2.0-85048439813
206,2,2-S2.0-85107130013
207,0,2-S2.0-0002879461
208,1,2-S2.0-85117187031
209,1,2-S2.0-85012913580
210,0,2-S2.0-85101814537
211,4,2-S2.0-85056835782
212,0,2-S2.0-85094865789
213,1,2-S2.0-85045110216
214,0,2-S2.0-81455128800
215,0,2-S2.0-77957975526
216,0,2-S2.0-85139218895
217,0,2-S2.0-85071105616
218,0,2-S2.0-85116678072
219,1,2-S2.0-85083463156
220,0,2-S2.0-34047211737
221,0,2-S2.0-84951990356
222,0,2-S2.0-18444418012
223,0,2-S2.0-85079606880
224,0,2-S2.0-85017537698
225,0,2-S2.0-85071101328
226,-1,2-S2.0-85090582835
227,0,2-S2.0-85049440518
228,0,2-S2.0-85059804590
229,0,2-S2.0-85113639444
230,0,2-S2.0-38849135534
231,0,2-S2.0-85051127038
232,1,2-S2.0-85081561182
233,0,2-S2.0-85089452752
234,1,2-S2.0-85077954625
235,0,2-S2.0-78751645939
236,0,2-S2.0-85119018010
237,0,2-S2.0-84995389735
238,-1,2-S2.0-85132752176
239,0,2-S2.0-85121137059
240,0,2-S2.0-84983087368
241,0,2-S2.0-85066019900
242,-1,2-S2.0-85073987977
243,1,2-S2.0-85039162100
244,0,2-S2.0-85053285362
245,0,2-S2.0-85081033314
246,0,2-S2.0-85056733436
247,-1,2-S2.0-85053047858
248,0,2-S2.0-21544480003
249,0,2-S2.0-85014111304
250,0,2-S2.0-85064056437
251,0,2-S2.0-85048018666
252,0,2-S2.0-85053241886
253,1,2-S2.0-0026918184
254,0,2-S2.0-85114778782
255,0,2-S2.0-85091935222
256,0,2-S2.0-85062624388
257,1,2-S2.0-85050918007
258,0,2-S2.0-85126672635
259,0,2-S2.0-84978198655
260,0,2-S2.0-85054469918
261,0,2-S2.0-85058110468
262,0,2-S2.0-34248175184
263,0,2-S2.0-84949535118
264,0,2-S2.0-33644584611
265,0,2-S2.0-33751295300
266,0,2-S2.0-15844372959
267,0,2-S2.0-85109400497
268,3,2-S2.0-85075060593
269,0,2-S2.0-85085273856
270,0,2-S2.0-84890563969
271,0,2-S2.0-85096169795
272,0,2-S2.0-85099196625
273,1,2-S2.0-84994747508
274,0,2-S2.0-58149251933
275,0,2-S2.0-84976646069
276,0,2-S2.0-85075250515
277,1,2-S2.0-85086837359
278,0,2-S2.0-85017116010
279,-1,2-S2.0-85022199723
280,0,2-S2.0-85089460549
281,2,2-S2.0-85098851903
282,2,2-S2.0-85129017599
283,0,2-S2.0-0003077926
284,0,2-S2.0-17744375665
285,1,2-S2.0-85013914260
286,1,2-S2.0-84946761199
287,1,2-S2.0-85072786907
288,0,2-S2.0-85095739804
289,0,2-S2.0-85020064619
290,0,2-S2.0-85098687748
291,0,2-S2.0-85078203349
292,0,2-S2.0-85079644606
293,0,2-S2.0-67949086862
294,0,2-S2.0-84930823962
295,0,2-S2.0-84920180033
296,1,2-S2.0-85045217196
297,1,2-S2.0-85044631269
298,1,2-S2.0-85044085515
299,0,2-S2.0-85137272156
300,0,2-S2.0-85077155060
301,0,2-S2.0-84938997267
302,0,2-S2.0-84896700765
303,0,2-S2.0-33646036725
304,0,2-S2.0-0036021507
305,0,2-S2.0-85092236660
306,-1,2-S2.0-85105975681
307,1,2-S2.0-0032644525
308,-1,2-S2.0-85121118680
309,-1,2-S2.0-84896402440
310,0,2-S2.0-0034409737
311,0,2-S2.0-85062861934
312,0,2-S2.0-85108635989
313,0,2-S2.0-85109158703
314,0,2-S2.0-85087553497
315,1,2-S2.0-85100128871
316,0,2-S2.0-85061315931
317,1,2-S2.0-85043984710
318,0,2-S2.0-84945435044
319,0,2-S2.0-84923862484
320,0,2-S2.0-85062346266
321,0,2-S2.0-54249095962
322,0,2-S2.0-85103963512
323,0,2-S2.0-84886708684
324,1,2-S2.0-85039960683
325,0,2-S2.0-85075581379
326,0,2-S2.0-85057452861
327,0,2-S2.0-0344196686
328,0,2-S2.0-0002120459
329,0,2-S2.0-80052098978
330,0,2-S2.0-58449123572
331,1,2-S2.0-85066800958
332,1,2-S2.0-85040367996
333,1,2-S2.0-85028996629
334,-1,2-S2.0-85040984237
335,1,2-S2.0-79551488404
336,0,2-S2.0-85109193385
337,1,2-S2.0-66149171374
338,0,2-S2.0-0031186335
339,0,2-S2.0-84953839355
340,0,2-S2.0-85021677849
341,0,2-S2.0-85075013861
342,0,2-S2.0-16244374034
343,0,2-S2.0-84986100919
344,5,2-S2.0-84982914022
345,0,2-S2.0-85022215085
346,-1,2-S2.0-85110308042
347,0,2-S2.0-85076242970
348,0,2-S2.0-85110701073
349,0,2-S2.0-84929502898
350,0,2-S2.0-0037375753
351,0,2-S2.0-85134162860
352,1,2-S2.0-85131704878
353,0,2-S2.0-84857190918
354,0,2-S2.0-39449094255
355,1,2-S2.0-84899422466
356,0,2-S2.0-33646706633
357,0,2-S2.0-85089652525
358,0,2-S2.0-85124229865
359,-1,2-S2.0-85086913219
360,0,2-S2.0-85076830989
361,1,2-S2.0-85054004996
362,0,2-S2.0-85074494483
363,1,2-S2.0-85090860466
364,0,2-S2.0-85090041442
365,-1,2-S2.0-85059587464
366,0,2-S2.0-85120399677
367,0,2-S2.0-85088571763
368,0,2-S2.0-85102738664
369,0,2-S2.0-85132873603
370,2,2-S2.0-85128207297
371,2,2-S2.0-85099577119
372,0,2-S2.0-85134045780
373,0,2-S2.0-85098507930
374,1,2-S2.0-85143990421
375,-1,2-S2.0-85072712727
376,0,2-S2.0-85076432293
377,2,"ECJOA,,""ENGLISH"",""ECON. J."",ARTICLE,""FINAL"",""ALL OPEN ACCESS, BRONZE"",SCOPUS,2-S2.0-85111752492"
378,2,",,""ENGLISH"",""SOCIO-ECON. PLANN. SCI."",ARTICLE,""FINAL"","""",SCOPUS,2-S2.0-85098851903"
379,2,",,""ENGLISH"",""TECHNOL. FORECAST. SOC. CHANGE"",ARTICLE,""FINAL"","""",SCOPUS,2-S2.0-85124649104"
380,-1,",,""ENGLISH"",""SMALL BUS. ECON."",ARTICLE,""FINAL"",""ALL OPEN ACCESS, GREEN"",SCOPUS,2-S2.0-85067260141"
381,1,"MSCIA,,""ENGLISH"",""MANAGE SCI"",ARTICLE,""FINAL"","""",SCOPUS,2-S2.0-85114475952"
382,6,",,""ENGLISH"",""SUSTAINABILITY"",ARTICLE,""FINAL"",""ALL OPEN ACCESS, GOLD, GREEN"",SCOPUS,2-S2.0-85047238713"
383,2,"EECOD,,""ENGLISH"",""ENERGY ECON."",ARTICLE,""FINAL"","""",SCOPUS,2-S2.0-85120909197"
384,1,",,""ENGLISH"",""IND. CORP. CHANGE"",ARTICLE,""FINAL"",""ALL OPEN ACCESS, GREEN"",SCOPUS,2-S2.0-85118693444"
385,1,"IEPOD,,""ENGLISH"",""INF. ECON. POLICY"",ARTICLE,""FINAL"","""",SCOPUS,2-S2.0-85066395919"
386,-1,",,""ENGLISH"",""TECHNOL. SOC."",ARTICLE,""FINAL"","""",SCOPUS,2-S2.0-85115796641"
387,1,"SMAJD,,""ENGLISH"",""STRATEGIC MANAGE J"",ARTICLE,""FINAL"","""",SCOPUS,2-S2.0-85109705359"
388,-1,"LECOE,,""ENGLISH"",""LABOUR ECON."",ARTICLE,""FINAL"","""",SCOPUS,2-S2.0-85109382015"
389,2,"EECOD,,""ENGLISH"",""ENERGY ECON."",ARTICLE,""FINAL"","""",SCOPUS,2-S2.0-85123394224"
390,2,2-S2.0-85130491596
391,-1,2-S2.0-85127966535
392,1,2-S2.0-85103302434
393,0,2-S2.0-85091753011
394,0,2-S2.0-85068076141
395,1,2-S2.0-85105265049
396,1,2-S2.0-85088107676
397,6,2-S2.0-85070971244
398,1,2-S2.0-85084510144
399,1,2-S2.0-85052246293
400,1,2-S2.0-85053326216
401,1,2-S2.0-85105710788
402,1,2-S2.0-85134416708
403,1,2-S2.0-85097931015
404,6,2-S2.0-85075401399
405,6,2-S2.0-85070898546
406,1,2-S2.0-85063583890
407,1,2-S2.0-85085273894
408,2,2-S2.0-85086513278
409,1,2-S2.0-85082447256
410,-1,2-S2.0-85087449120
411,1,2-S2.0-85113298553
412,1,2-S2.0-85045344385
413,1,2-S2.0-85014611228
414,-1,2-S2.0-85121025980
415,1,2-S2.0-85080904869
416,-1,2-S2.0-85052834383
417,0,2-S2.0-85125653531
418,-1,2-S2.0-85106997574
419,1,2-S2.0-85099512672
420,-1,2-S2.0-85109124279
421,6,2-S2.0-85072032394
422,-1,2-S2.0-85055077256
423,3,2-S2.0-85076479809
424,0,2-S2.0-85084490694
425,1,2-S2.0-85077913111
426,0,2-S2.0-85083731847
427,-1,2-S2.0-85076865373
428,6,2-S2.0-85140579455
429,-1,2-S2.0-85077678939
430,1,2-S2.0-85098559248
431,6,2-S2.0-85075272901
432,6,2-S2.0-85089251791
433,2,2-S2.0-85104598624
434,1,2-S2.0-85067607663
435,-1,2-S2.0-85062238789
436,1,2-S2.0-85029530899
437,5,2-S2.0-85099013881
438,1,2-S2.0-85099557159
439,-1,2-S2.0-85098250018
440,1,2-S2.0-85071613069
441,1,2-S2.0-85041524700
442,1,2-S2.0-85103624700
443,1,2-S2.0-85079556573
444,1,2-S2.0-85066076495
445,2,2-S2.0-85099312976
446,1,2-S2.0-85087076996
447,-1,2-S2.0-85041406987
448,1,2-S2.0-85103044019
449,1,2-S2.0-85037335806
450,1,2-S2.0-85084227521
451,1,2-S2.0-85050557949
452,0,2-S2.0-0942268003
453,1,2-S2.0-85059270729
454,1,2-S2.0-85084673903
455,-1,2-S2.0-85042923484
456,1,2-S2.0-85077590115
457,1,2-S2.0-85083262386
458,0,2-S2.0-85065292457
459,1,2-S2.0-85100448061
460,-1,2-S2.0-85092500615
461,1,2-S2.0-85083340447
462,1,2-S2.0-84873060629
463,1,2-S2.0-85045216539
464,-1,2-S2.0-85112770043
465,0,2-S2.0-85087835695
466,1,2-S2.0-85087295894
467,2,2-S2.0-85132703302
468,0,2-S2.0-85070715292
469,0,2-S2.0-85116669602
470,-1,2-S2.0-85021657582
471,0,2-S2.0-85085109065
472,0,2-S2.0-85134011406
473,1,2-S2.0-85067228980
474,1,2-S2.0-85094175946
475,-1,2-S2.0-85066431723
476,-1,2-S2.0-85077165470
477,2,2-S2.0-85135101431
478,-1,2-S2.0-85080025553
479,2,2-S2.0-85057459730
480,-1,2-S2.0-85047258542
481,1,2-S2.0-85094326890
482,1,2-S2.0-85096953185
483,1,2-S2.0-85016237062
484,1,2-S2.0-85075355821
485,1,2-S2.0-85107805088
486,1,2-S2.0-85109440997
487,-1,2-S2.0-85100856667
488,1,2-S2.0-84992205897
489,0,2-S2.0-85076541826
490,1,2-S2.0-85129376013
491,-1,2-S2.0-85049252642
492,0,2-S2.0-77955308042
493,1,2-S2.0-85089253688
494,0,2-S2.0-85083791696
495,1,2-S2.0-85081211190
496,0,2-S2.0-85075350653
497,1,2-S2.0-85089602698
498,1,2-S2.0-85071255877
499,-1,2-S2.0-85103244579
500,1,2-S2.0-85088988374
501,1,2-S2.0-85101432260
502,1,2-S2.0-85100000551
503,-1,2-S2.0-85052822578
504,0,2-S2.0-85092285579
505,-1,2-S2.0-85062611190
506,1,2-S2.0-85068482219
507,0,2-S2.0-85058443182
508,1,2-S2.0-85058141592
509,0,2-S2.0-85055326956
510,6,2-S2.0-85012284836
511,1,2-S2.0-85054461325
512,5,2-S2.0-85065158210
513,1,2-S2.0-85083331515
514,1,2-S2.0-85032504854
515,0,2-S2.0-85101553026
516,1,2-S2.0-85072328977
517,5,2-S2.0-85111045955
518,5,2-S2.0-85087219114
519,0,2-S2.0-85100001965
520,1,2-S2.0-85079381223
521,0,2-S2.0-85082923840
522,1,2-S2.0-85089828048
523,-1,2-S2.0-85084386238
524,1,2-S2.0-85019675636
525,1,2-S2.0-85046779673
526,1,2-S2.0-85089177268
527,1,2-S2.0-85074334143
528,1,2-S2.0-85058037757
529,2,2-S2.0-85111247193
530,1,2-S2.0-85074848448
531,0,2-S2.0-85096220829
532,1,2-S2.0-85114687655
533,1,2-S2.0-85089573845
534,1,2-S2.0-85083421439
535,0,2-S2.0-85129418809
536,1,2-S2.0-85114681718
537,1,2-S2.0-85126151026
538,-1,2-S2.0-85075353095
539,1,2-S2.0-85070235030
540,-1,2-S2.0-85067263621
541,6,2-S2.0-85063047489
542,0,2-S2.0-85081940596
543,0,2-S2.0-85100398684
544,1,2-S2.0-85068081811
545,1,2-S2.0-85114672912
546,1,2-S2.0-84957895151
547,-1,2-S2.0-85057472527
548,1,2-S2.0-85096577013
549,-1,2-S2.0-85012935492
550,1,2-S2.0-85068602404
551,-1,2-S2.0-85052735201
552,1,2-S2.0-85099422856
553,1,2-S2.0-85087855013
554,-1,2-S2.0-85010281662
555,1,2-S2.0-85114697629
556,1,2-S2.0-85045060997
557,1,2-S2.0-85094626108
558,5,2-S2.0-85085992046
559,0,2-S2.0-85096103480
560,0,2-S2.0-85044252778
561,0,2-S2.0-85051064923
562,-1,2-S2.0-85091482134
563,-1,2-S2.0-85060215135
564,0,2-S2.0-85081297614
565,0,2-S2.0-85029697172
566,0,2-S2.0-85083843630
567,-1,2-S2.0-85031710221
568,1,2-S2.0-85085339316
569,-1,2-S2.0-85104159198
570,0,2-S2.0-85043485680
571,1,2-S2.0-85087318131
572,0,2-S2.0-85152418843
573,1,2-S2.0-85041494062
574,1,2-S2.0-85085375157
575,0,2-S2.0-85076017899
576,1,2-S2.0-85045445268
577,0,2-S2.0-85106197606
578,1,2-S2.0-85099106461
579,1,2-S2.0-85053721932
580,1,2-S2.0-85057154880
581,6,2-S2.0-85075741895
582,0,2-S2.0-85056681740
583,1,2-S2.0-85085649184
584,0,2-S2.0-85124155048
585,1,2-S2.0-85021191082
586,0,2-S2.0-85045955580
587,1,2-S2.0-85081092292
588,0,2-S2.0-85081295941
589,0,2-S2.0-85056313081
590,-1,2-S2.0-85075210268
591,0,2-S2.0-85087994814
592,0,2-S2.0-85096550454
593,2,2-S2.0-85109364718
